sampleName,fileName,segment,batch,ID
10018500K,10018500KHTcount.txt,HG,104hscr,P_33
10042129X,10042129XHTcount.txt,HA,104hscr,P_25
10042129K,10042129KHTcount.txt,HG,104hscr,P_25
10042616X,10042616XHTcount.txt,HA,104hscr,P_23
10042616K,10042616KHTcount.txt,HG,104hscr,P_23
10045455X,10045455XHTcount.txt,HA,104hscr,P_20
10045455K,10045455KHTcount.txt,HG,104hscr,P_20
10049833X,10049833XHTcount.txt,HA,104hscr,P_28
10049833K,10049833KHTcount.txt,HG,104hscr,P_28
10052858X,10052858XHTcount.txt,HA,104hscr,P_24
10052858K,10052858KHTcount.txt,HG,104hscr,P_24
10053549X,10053549XHTcount.txt,HA,104hscr,P_21
10053549K,10053549KHTcount.txt,HG,104hscr,P_21
10064348X,10064348XHTcount.txt,HA,104hscr,P_175
10064348K,10064348KHTcount.txt,HG,104hscr,P_175
10066778X,10066778XHTcount.txt,HA,102hscr,P_17
10070238X,10070238XHTcount.txt,HA,102hscr,P_19
10070238K,10070238KHTcount.txt,HG,102hscr,P_19
10071050X,10071050XHTcount.txt,HA,104hscr,P_219
10071050K,10071050KHTcount.txt,HG,104hscr,P_219
10071744X,10071744XHTcount.txt,HA,104hscr,P_152
10071744K,10071744KHTcount.txt,HG,104hscr,P_152
10074463X,10074463XHTcount.txt,HA,102hscr,P_4
10074540X,10074540XHTcount.txt,HA,104hscr,P_151
10074540K,10074540KHTcount.txt,HG,104hscr,P_151
10078093X,10078093XHTcount.txt,HA,102hscr,P_200
10078093K,10078093KHTcount.txt,HG,102hscr,P_200
10078811X,10078811XHTcount.txt,HA,102hscr,P_199
10078811K,10078811KHTcount.txt,HG,102hscr,P_199
10079263X,10079263XHTcount.txt,HA,104hscr,P_174
10079763X,10079763XHTcount.txt,HA,104hscr,P_29
10079763K,10079763KHTcount.txt,HG,104hscr,P_29
10080955X,10080955XHTcount.txt,HA,104hscr,P_30
10080955K,10080955KHTcount.txt,HG,104hscr,P_30
10081082K,10081082KHTcount.txt,HG,102hscr,P_204
10081294X,10081294XHTcount.txt,HA,104hscr,P_178
10081294K,10081294KHTcount.txt,HG,104hscr,P_178
10081384X,10081384XHTcount.txt,HA,102hscr,P_215
10081384K,10081384KHTcount.txt,HG,102hscr,P_215
10082195X,10082195XHTcount.txt,HA,104hscr,P_22
10082195K,10082195KHTcount.txt,HG,104hscr,P_22
10084225X,10084225XHTcount.txt,HA,104hscr,P_180
10084225K,10084225KHTcount.txt,HG,104hscr,P_180
10084246X,10084246XHTcount.txt,HA,104hscr,P_27
10085243X,10085243XHTcount.txt,HA,102hscr,P_2
10086533X,10086533XHTcount.txt,HA,102hscr,P_202
10086533K,10086533KHTcount.txt,HG,102hscr,P_202
10088660K,10088660KHTcount.txt,HG,102hscr,P_32
10088707K,10088707KHTcount.txt,HG,102hscr,P_31
10090204X,10090204XHTcount.txt,HA,102hscr,P_7
10090204K,10090204KHTcount.txt,HG,102hscr,P_7
10090683X,10090683XHTcount.txt,HA,102hscr,P_156
10090683K,10090683KHTcount.txt,HG,102hscr,P_156
10091676X,10091676XHTcount.txt,HA,102hscr,P_11
10091676K,10091676KHTcount.txt,HG,102hscr,P_11
10093657X,10093657XHTcount.txt,HA,102hscr,P_205
10093657K,10093657KHTcount.txt,HG,102hscr,P_205
10093949X,10093949XHTcount.txt,HA,102hscr,P_217
10093949K,10093949KHTcount.txt,HG,102hscr,P_217
10094050X,10094050XHTcount.txt,HA,102hscr,P_187
10094278X,10094278XHTcount.txt,HA,102hscr,P_14
10094278K,10094278KHTcount.txt,HG,102hscr,P_14
10094316X,10094316XHTcount.txt,HA,102hscr,P_188
10094316K,10094316KHTcount.txt,HG,102hscr,P_188
10094978X,10094978XHTcount.txt,HA,102hscr,P_206
10094978K,10094978KHTcount.txt,HG,102hscr,P_206
10095119X,10095119XHTcount.txt,HA,102hscr,P_216
10095119K,10095119KHTcount.txt,HG,102hscr,P_216
10095149X,10095149XHTcount.txt,HA,102hscr,P_208
10095149K,10095149KHTcount.txt,HG,102hscr,P_208
10095477X,10095477XHTcount.txt,HA,102hscr,P_13
10095477K,10095477KHTcount.txt,HG,102hscr,P_13
10096028X,10096028XHTcount.txt,HA,102hscr,P_16
10096028K,10096028KHTcount.txt,HG,102hscr,P_16
10096664X,10096664XHTcount.txt,HA,102hscr,P_191
10096664K,10096664KHTcount.txt,HG,102hscr,P_191
10097000X,10097000XHTcount.txt,HA,102hscr,P_194
10097000K,10097000KHTcount.txt,HG,102hscr,P_194
10097067X,10097067XHTcount.txt,HA,102hscr,P_209
10097067K,10097067KHTcount.txt,HG,102hscr,P_209
A10123254,A10123254_star_out.txt,CT,other_New,P_39
A10126670,A10126670_star_out.txt,CT,other_New,P_40
20071716X,20071716XHTcount.txt,HA,102hscr,P_6
20071716K,20071716KHTcount.txt,HG,102hscr,P_6
B20099427,B20099427_HTcount.txt,CT,other,P_35
20108471X,20108471XHTcount.txt,HA,104hscr,P_26
20108471K,20108471KHTcount.txt,HG,104hscr,P_26
20109903X,20109903XHTcount.txt,HA,102hscr,P_18
20109903K,20109903KHTcount.txt,HG,102hscr,P_18
20112783X,20112783XHTcount.txt,HA,102hscr,P_5
20112783K,20112783KHTcount.txt,HG,102hscr,P_5
B20113345,B20113345_HTcount.txt,CT,other,P_36
B20121407,B20121407_HTcount.txt,CT,other,P_37
20125201X,20125201XHTcount.txt,HA,102hscr,P_8
20125201K,20125201KHTcount.txt,HG,102hscr,P_8
A20126733,A20126733_star_out.txt,CT,other_New,P_41
20128064X,20128064XHTcount.txt,HA,102hscr,P_12
20128064K,20128064KHTcount.txt,HG,102hscr,P_12
20131470X,20131470XHTcount.txt,HA,102hscr,P_155
20131470K,20131470KHTcount.txt,HG,102hscr,P_155
B20131614,B20131614_HTcount.txt,CT,other,P_38
A20132987,A20132987_star_out.txt,CT,other_New,P_42
A20134491,A20134491_star_out.txt,CT,other_New,P_43
20135706X,20135706XHTcount.txt,HA,102hscr,P_3
20135706K,20135706KHTcount.txt,HG,102hscr,P_3
20139404X,20139404XHTcount.txt,HA,102hscr,P_207
20139404K,20139404KHTcount.txt,HG,102hscr,P_207
20139713X,20139713XHTcount.txt,HA,102hscr,P_1
20139713K,20139713KHTcount.txt,HG,102hscr,P_1
20153283X,20153283XHTcount.txt,HA,102hscr,P_9
20153283K,20153283KHTcount.txt,HG,102hscr,P_9
20155242K,20155242KHTcount.txt,HG,102hscr,P_193
20162482X,20162482XHTcount.txt,HA,102hscr,P_15
20162482K,20162482KHTcount.txt,HG,102hscr,P_15
20165460X,20165460XHTcount.txt,HA,102hscr,P_10
20165460K,20165460KHTcount.txt,HG,102hscr,P_10
A20208236,A20208236_star_out.txt,CT,other_New,P_44
A20216369,A20216369_star_out.txt,CT,other_New,P_45
A20220870,A20220870_star_out.txt,CT,other_New,P_46
A20230486,A20230486_star_out.txt,CT,other_New,P_48
